"name","category","total","weekly","monthly","timestamp"
"create-hyperweb-app","hyperwebjs",632,6,36,"2025-04-01"
"@hyperweb/cli","hyperwebjs",125,0,4,"2025-04-01"
"hyperwebjs","hyperwebjs",1562,135,470,"2025-04-01"
"hyperweb-kit","hyperwebjs",125,1,4,"2025-04-01"
"@hyperweb/build","hyperwebjs",689,45,176,"2025-04-01"
"@hyperweb/ts-json-schema","hyperwebjs",263,1,14,"2025-04-01"
"interchainjs","interchain-js",21943,3433,8575,"2025-04-01"
"injectivejs","interchain-js",7224,92,556,"2025-04-01"
"@interchainjs/utils","interchain-js",24541,3472,9961,"2025-04-01"
"@interchainjs/types","interchain-js",24856,3444,9929,"2025-04-01"
"@interchainjs/auth","interchain-js",21314,3374,8312,"2025-04-01"
"@interchainjs/cosmos","interchain-js",22684,3451,8706,"2025-04-01"
"@interchainjs/cosmos-msgs","interchain-js",387,3,7,"2025-04-01"
"@interchainjs/cosmos-query","interchain-js",382,3,7,"2025-04-01"
"@interchainjs/ethereum","interchain-js",7774,519,1355,"2025-04-01"
"@interchainjs/injective","interchain-js",8702,597,1508,"2025-04-01"
"@interchainjs/cosmos-types","interchain-js",25087,3662,8945,"2025-04-01"
"@interchainjs/ethermint","interchain-js",804,8,46,"2025-04-01"
"injective-query","interchain-js",94,1,3,"2025-04-01"
"injective-react","interchain-js",2651,117,503,"2025-04-01"
"injective-vue","interchain-js",2280,76,413,"2025-04-01"
"interchain-react","interchain-js",1044,39,80,"2025-04-01"
"interchain-kit","cosmos-kit",6910,268,1214,"2025-04-01"
"@interchain-kit/core","cosmos-kit",18893,2808,7113,"2025-04-01"
"@interchain-kit/react","cosmos-kit",7046,582,1433,"2025-04-01"
"@interchain-kit/vue","cosmos-kit",1919,92,232,"2025-04-01"
"cosmos-kit","cosmos-kit",54096,1069,5066,"2025-04-01"
"@cosmos-kit/core","cosmos-kit",708139,8782,38324,"2025-04-01"
"@cosmos-kit/react","cosmos-kit",158589,3708,16456,"2025-04-01"
